INFO:root:Model Training using Python 3.9.7 (tags/v3.9.7:1016ef3, Aug 30 2021, 20:19:38) [MSC v.1929 64 bit (AMD64)] and PyTorch 1.9.0+cpu:
INFO:root:Batch Size: 256
INFO:root:Scheduler Use: False
INFO:root:Total Epochs: 1500
INFO:root:Learning Rate: 0.001
INFO:root:Gamma: 0.1
INFO:root:
INFO:root:Reading Train and Test data...
INFO:root:Instantiating model...
INFO:root:Training Starts...
INFO:root:Epoch 47 Train Accuracy: 72.9%, Train Loss: 180.274779, Test Accuracy: 72.4%, Test loss: 184.817270
INFO:root:Epoch 48 Train Accuracy: 73.5%, Train Loss: 177.374882, Test Accuracy: 73.7%, Test loss: 176.873807
INFO:root:Epoch 49 Train Accuracy: 74.5%, Train Loss: 171.679011, Test Accuracy: 71.6%, Test loss: 191.465572
INFO:root:Epoch 50 Train Accuracy: 73.7%, Train Loss: 172.410118, Test Accuracy: 72.0%, Test loss: 185.111898
INFO:root:Epoch 51 Train Accuracy: 75.0%, Train Loss: 169.767673, Test Accuracy: 72.1%, Test loss: 185.622616
INFO:root:Epoch 52 Train Accuracy: 73.7%, Train Loss: 172.087054, Test Accuracy: 71.8%, Test loss: 189.365134
INFO:root:Epoch 53 Train Accuracy: 74.6%, Train Loss: 170.395783, Test Accuracy: 74.0%, Test loss: 175.060936
INFO:root:Epoch 54 Train Accuracy: 74.2%, Train Loss: 168.246505, Test Accuracy: 73.1%, Test loss: 176.387389
INFO:root:Epoch 55 Train Accuracy: 74.2%, Train Loss: 170.360237, Test Accuracy: 74.9%, Test loss: 167.044382
INFO:root:Epoch 56 Train Accuracy: 73.8%, Train Loss: 172.935997, Test Accuracy: 72.7%, Test loss: 185.368868
INFO:root:Epoch 57 Train Accuracy: 74.8%, Train Loss: 166.614009, Test Accuracy: 72.7%, Test loss: 179.070896
INFO:root:Epoch 58 Train Accuracy: 75.1%, Train Loss: 164.056563, Test Accuracy: 74.4%, Test loss: 168.480006
INFO:root:Epoch 59 Train Accuracy: 74.7%, Train Loss: 162.727869, Test Accuracy: 73.5%, Test loss: 176.718229
INFO:root:Epoch 60 Train Accuracy: 74.7%, Train Loss: 166.695567, Test Accuracy: 73.7%, Test loss: 171.634529
INFO:root:Epoch 61 Train Accuracy: 74.9%, Train Loss: 163.762366, Test Accuracy: 74.3%, Test loss: 169.821320
INFO:root:Epoch 62 Train Accuracy: 75.3%, Train Loss: 163.461075, Test Accuracy: 73.9%, Test loss: 173.599125
INFO:root:Epoch 63 Train Accuracy: 76.2%, Train Loss: 159.596821, Test Accuracy: 75.2%, Test loss: 161.432624
INFO:root:Epoch 64 Train Accuracy: 75.3%, Train Loss: 162.981576, Test Accuracy: 71.8%, Test loss: 186.919349
INFO:root:Epoch 65 Train Accuracy: 75.0%, Train Loss: 163.781614, Test Accuracy: 73.5%, Test loss: 175.803254
INFO:root:Epoch 66 Train Accuracy: 75.9%, Train Loss: 157.807580, Test Accuracy: 72.0%, Test loss: 186.312386
INFO:root:Epoch 67 Train Accuracy: 75.7%, Train Loss: 162.111158, Test Accuracy: 74.6%, Test loss: 167.475511
INFO:root:Epoch 68 Train Accuracy: 76.0%, Train Loss: 156.170070, Test Accuracy: 75.6%, Test loss: 162.444858
INFO:root:Epoch 69 Train Accuracy: 75.8%, Train Loss: 160.485495, Test Accuracy: 75.7%, Test loss: 161.013454
INFO:root:Epoch 70 Train Accuracy: 76.7%, Train Loss: 155.235143, Test Accuracy: 76.4%, Test loss: 156.782284
INFO:root:Epoch 71 Train Accuracy: 76.2%, Train Loss: 156.881403, Test Accuracy: 75.7%, Test loss: 162.386219
INFO:root:Epoch 72 Train Accuracy: 75.9%, Train Loss: 156.315448, Test Accuracy: 76.2%, Test loss: 155.773846
INFO:root:Epoch 73 Train Accuracy: 76.5%, Train Loss: 156.375129, Test Accuracy: 71.2%, Test loss: 192.128079
INFO:root:Epoch 74 Train Accuracy: 76.5%, Train Loss: 155.415786, Test Accuracy: 76.1%, Test loss: 157.662127
INFO:root:Epoch 75 Train Accuracy: 76.7%, Train Loss: 153.115060, Test Accuracy: 73.9%, Test loss: 174.298534
